county,subcounty,ward,prec,temp,soil_moisture,clay_content,time_to_treatment,prop_itn_access,prop_livestock_ownership,prop_lowest_wealth_quantile,number_per_room,prop_wall_material,N,pop,prev,IsEndemic_Yes,b0,wardID,present,mean,sd,q0.025,q0.5,q0.975,median,sd.mc_std_err,mean.mc_std_err,risk,occurence,ci_lower_expect,ci_upper_expect,ci_lower_occurence,ci_upper_occurence,uncertainty_expect,uncertainty_occurence,risk_cat,uncertainty_risk_cat,occurence_cat,uncertainty_occurence_cat
Taita Taveta,Mwatate,Chawia,-1.08715184093528,0.609198209018813,-0.888024781743563,-1.14124720687494,2.55952858292837,1.29784113257043,-0.0644904377063147,0.0833376419273048,-0.760883685970574,-0.784600035512565,0,168254,3.08663662732494e-09,0,1,1242,0,0.000519338959093931,0.00198928276333278,6.28116394627911e-06,0.000175756984258948,0.00250453655073798,0.000175756984258948,0.000528929785437365,9.63591013081774e-05,,0.000278338577353391,0,0,4.75730993579777e-06,0.0014795672303925,,0.0014748099204567,0,0,<0.01,<0.01
Taita Taveta,Mwatate,Mwatate,-1.19515113956795,0.544315487056378,-0.927031074735422,-0.992879217028489,1.63969158465003,1.27866523818555,-0.204109818735666,-0.127350579690069,-0.77814491890887,-0.784077418255722,0,156417,2.54234407439748e-08,0,1,1243,0,0.00397665833085031,0.015302867388015,7.02885177054002e-05,0.00102256230136344,0.0321840301217372,0.00102256230136344,0.00304128557771518,0.000676266945588411,,0.00123959959769449,0,0,5.26939658374968e-05,0.00553470009203683,,0.00548200612619934,0,0,<0.01,<0.01
Taita Taveta,Mwatate,Ronge,-0.990931544959258,0.47066067192881,-0.442965600982456,-0.730834249421391,1.41362203764254,1.20969205060734,-0.048630714140038,-0.205755474294028,-0.916530534187497,-0.744839023710722,0,131958,1.0524575428605e-07,0,1,1244,0,0.0138880192440786,0.110968404785148,0.000136761258786332,0.00220551173651271,0.0598794649972477,0.00220551173651271,0.0416286252887015,0.00614195450984557,,0.00249658809909734,0,0,8.76767961434833e-05,0.0122224700148337,,0.0121347932186902,0,0,<0.01,0.01-0.05
Taita Taveta,Mwatate,Wusi/Kishamba,-0.613549277187995,0.164454018530859,-0.312328098955847,-0.514859194944059,1.54215765519392,1.36520348505691,-0.120220097916736,-0.442166744876625,-0.921690300214701,-0.822709746625333,0,126526,1.81957956877057e-08,0,1,1245,0,0.00230224124518265,0.0112167519178401,3.98838794830034e-05,0.000671779746562156,0.0119274792260593,0.000671779746562156,0.004295726624623,0.000626390446879081,,0.00096504896247469,0,0,3.07201103522331e-05,0.00472374785634327,,0.00469302774599104,0,0,<0.01,<0.01
Taita Taveta,Taveta,Bomani,-1.16267778633552,0.650705237763114,-1.65050291966834,0.132157998180152,1.32000662336012,0.998497917208541,-0.320127812993868,-0.538252671061944,-0.844519637619175,-0.377039328242984,0,154970,1.60569113950253e-07,0,1,1246,0,0.0248833955888706,0.160138328658663,0.000264910854581075,0.00498259332272859,0.119930435114098,0.00498259332272859,0.0634540309299995,0.00907720388169133,,0.00474931839949093,0,0.1,0.000199869978400411,0.0234368862957415,0.1,0.0232370163173411,0,1-5,<0.01,0.01-0.05
Taita Taveta,Taveta,Chala,-1.21452791078278,0.301410111000643,-0.996688142909283,-0.0302228581576703,1.1312875978343,1.08308971975982,0.00745193316243952,-0.237296169855844,-0.726003910841581,-0.772251760258202,0,224161,2.03844681282884e-07,0,1,1247,0,0.0456940276010527,0.167003972033013,0.000323403479133881,0.0081045166493706,0.355763774400304,0.0081045166493706,0.0316521724408439,0.00728298845530339,,0.004180527189578,0,0.2,0.000165857629729452,0.0185914828808569,0.2,0.0184256252511274,0,1-5,<0.01,0.01-0.05
Taita Taveta,Taveta,Mahoo,-1.18269981327324,0.469475570553079,-1.56963792335778,0.128009329628361,1.2801858892805,1.01380839775834,-0.367986176857027,-0.523285614356254,-0.739523437046469,-0.47052665226966,0,156886,7.67378622438998e-08,0,1,1248,0,0.0120390962559965,0.0487388555514741,0.000199357943510996,0.00281263532218523,0.069745638522804,0.00281263532218523,0.00974369531132852,0.00215750334113603,,0.00260625630927984,0,0,0.00014108523952566,0.0113116181940687,,0.0111705329545431,0,0,<0.01,0.01-0.05
Taita Taveta,Taveta,Mata,-1.14747395430418,0.510261605338598,-0.860034604789196,-0.760153015149067,2.03123417626546,1.02726533772565,-0.222885541913241,-0.31149612452885,-0.770821126684773,-0.574082107985781,0,112458,7.40410608488539e-09,0,1,1249,0,0.000832650962094041,0.00152464251689252,2.21093922873856e-05,0.000358947772072506,0.00474496456633854,0.000358947772072506,0.000157378015984593,5.8166889392115e-05,,0.000580668273798264,0,0,1.65121048814549e-05,0.00331135758549319,,0.00329484548061173,0,0,<0.01,<0.01
Taita Taveta,Taveta,Mboghoni,-1.00372854111742,0.699561031454625,-1.22935050021679,-0.270889276345536,1.56524832079141,0.863203546292849,-0.134734291042458,-0.335493329788502,-0.830076905968635,-0.152671764923972,0,244522,4.6092126247757e-08,0,1,1250,0,0.011270538894354,0.0772344507270579,0.000146634895720876,0.002719784605085,0.0504023125290711,0.002719784605085,0.032152806890454,0.00447588984012332,,0.00290474896121316,0,0,0.000106336628845587,0.0137624476652232,,0.0136561110363776,0,0,<0.01,0.01-0.05
Taita Taveta,Voi,Kaloleni,-1.32698884751995,0.813763023182325,-1.33009501019751,-1.24860990577753,1.38209012929883,1.07487333292173,-0.232807998346724,-0.121260689320782,-0.755731683613885,-0.63542158744162,0,231448,2.95278447673504e-08,0,1,1251,0,0.00683416061571373,0.0219370703409952,9.56859279056303e-05,0.00189165611313698,0.0447103495196031,0.00189165611313698,0.00301764098841121,0.00088456344836994,,0.00236055647782773,0,0,8.53708930841598e-05,0.0116349070630714,,0.0115495361699872,0,0,<0.01,0.01-0.05
